letter,word,definition,dialect,sentiment
a,aalug-alog,aalug-alog adj. shaky; rickety,tagalog,negative
a,aam,aam n. broth made from boiled rice,tagalog,
a,aanga-anga,aanga-anga adj. remaining agape for some time,tagalog,
a,aapa-apa,aapa-apa adj. groping around,tagalog,
a,aba,aba adj. poor; humble; subservient,tagalog,negative
a,aba,aba! intrj. Well; Hi!,tagalog,negative
a,abahin,"abahin (inaaba, inaba, aabahin) v., inf. notify; pay attention to; take care of",tagalog,
a,abain,"(inaaba, inaba, aabain) v., inf. look down upon; scorn",tagalog,negative
a,abain,"abain (inaaba, inaba, aabain) v., inf. mistreat; treat badly",tagalog,negative
a,abaka,abaka n. abaka hemp,tagalog,
a,abakada,n. alphabet,tagalog,
a,abakadahin,"(inaabakada, inabakada, aabakadahin) v., inf. arrange in alphabetical order",tagalog,
a,abako,abako n. counting instrument,tagalog,
a,abala,abala adj. 1. occupied; busy; engaged; 2. absorbed; engrossed; obsessed,tagalog,negative
a,abala,n. 1. inconvenience; bother; trouble; 2. interruption; disturbance,tagalog,negative
a,abala,n. trouble; disturbance,tagalog,negative
a,abalahin,"(inaabala, inabala, aabalahin) v., inf. bother or worry someone",tagalog,negative
a,abalang-abala,abalang-abala adj. occupied; busy,tagalog,
a,abaloryo,"n. decorative glass bead; bead works on a dress, handbag, etc.",tagalog,positive
a,abanderado,n. flag-bearer; standard-bearer,tagalog,
a,abandonada,adj. negligent,tagalog,negative
a,abandonado-do,adj. abandoned; neglected,tagalog,negative
a,abang,abang n. watcher,tagalog,
a,abang-aba,abang-aba adj. very miserable; wretched,tagalog,negative
a,abangan,"abangan (inaabangan, inabangan, aabangan) v., inf. wait for; stay hidden, ready to attack; ambush",tagalog,positive
a,abangan,abangan n. place where you wait; place where ambushers wait for the victim,tagalog,positive
a,abaniko,n. folding fan,tagalog,
a,abanikuhan,"(inaabanikuhan, inabanikuhan, aabanikuhan) v., inf. fan (e.g. oneself)",tagalog,
a,abanikuhin,"(inaabaniko, inabaniko, aabanikuhin) v., inf. use as a fan",tagalog,
a,abano,n. cigar (tobacco),tagalog,
a,abante,n. lead (in a game),tagalog,positive
a,Abante!,intrj. Go ahead! Proceed!,tagalog,
a,abasto,n. baggage,tagalog,
a,abat,abat n. ambush; snare,tagalog,negative
a,abatan,"abatan (inaabatan, inabatan, aabatan) v., inf. waylay or ambush someone",tagalog,negative
a,abatan,abatan n. place where ambushers wait for the victim,tagalog,negative
a,abay,abay adj. lying or sitting close to each other,tagalog,negative
a,abay,n. 1. best man at a wedding; maid of honour; 2. escort; attendant,tagalog,negative
a,abay (mga -),"n., pl. retinue; group of attendants",tagalog,
a,abay na babae,n. bridesmaid,tagalog,
a,abay na lalaki,n. best man,tagalog,positive
a,abay na pandangal,pandangal n. maid of honour (US: honor),tagalog,
a,abayan,"(inaabayan, inabayan, aabayan) v., inf. escort; act as best man or bridesmaid",tagalog,positive
a,abdikasyon,n. abdication,tagalog,
